	time	time_start	time_end	duration_2	bh8_avg	yh8_avg	gh8_avg	bh8_std	yh8_std	gh8_std	bh8_min	yh8_min	gh8_min	bh8_max	yh8_max	gh8_max	blue_bunch_length	yellow_bunch_length	blue_bunch_length_scaling	yellow_bunch_length_scaling	wcm_blue	wcm_yellow	dcct_blue	dcct_yellow	bpm_south_ir	bpm_south_ir_sd	bpm_north_ir	bpm_north_ir_sd	step	duration	orientation	bpm_south_ir_rel	bpm_north_ir_rel	offset_avg_val	offset_set_val	intensity_rel_wcm	intensity_rel_dcct	cw_rate
0	2024-08-12 14:17:34-04:00	2024-08-12 14:17:10-04:00	2024-08-12 14:17:58-04:00	48.0	-0.06952715510204084	-0.11476789795918366	0.04524081224489797	0.00018189609220333342	0.00037733579457924286	0.0005313568616572795	-0.0698462	-0.115446	0.0443077	-0.0691692	-0.114031	0.0459692	1.1663237532263202	1.0302472782876793	0.9938630224039562	0.9915939555433145	17190.423828125	12163.448242188	18202.869140625	12295.243164062	1.788833141	0.001374991	0.661583245	0.00096967	1	40	Horizontal	0.0	0.0	0.0	0.0	1.0	1.0	849668.5659
1	2024-08-12 14:18:22-04:00	2024-08-12 14:17:58-04:00	2024-08-12 14:18:46-04:00	48.0	-0.069824812244898	-0.11425171428571433	0.044427	0.00012844533472884724	0.0001884225083865164	0.00025292294198694866	-0.0702154	-0.114646	0.0436308	-0.0696	-0.113846	0.0449231	1.1667280566054288	1.030642961242922	0.9942075426773516	0.9919747930713518	17197.240234375	12159.815429688	18199.990234375	12288.711914062	1.90049994	0.000929929	0.767083406	0.001072524	2	40	Horizontal	0.11166679899999998	0.10550016100000004	0.10858348000000001	0.1	1.0000977386924503	0.9993107259146914	794557.1535
2	2024-08-12 14:19:13-04:00	2024-08-12 14:18:47.500000-04:00	2024-08-12 14:19:38.500000-04:00	51.0	-0.06990166666666668	-0.11437223529411764	0.04447058627450981	0.0001436672790396848	0.0003092397508882248	0.0003166227610388157	-0.0703385	-0.114892	0.0436923	-0.0696	-0.113785	0.0449231	1.1672498870995889	1.0307944839833412	0.9946522116902854	0.992120630907271	17205.814453125	12156.47265625	18197.705078125	12281.309570312	2.060714483	0.000632553	0.924214303	0.001311526	3	45	Horizontal	0.2718813419999999	0.262631058	0.26725619999999994	0.25	1.0003213012636056	0.9985833757555501	556950.5341
3	2024-08-12 14:20:04-04:00	2024-08-12 14:19:38.500000-04:00	2024-08-12 14:20:29.500000-04:00	51.0	-0.06984494117647057	-0.11476439215686271	0.044919456862745094	0.00020242219954982247	0.0002618623362327138	0.0003442691419543168	-0.0704615	-0.1152	0.0441846	-0.0695385	-0.114092	0.0456	1.1679141343494472	1.0314145371748416	0.9952182387282683	0.9927174206389837	17214.44140625	12152.905273438	18195.96875	12274.163085938	2.214714289	0.001088814	1.081071258	0.001283075	4	45	Horizontal	0.42588114799999977	0.41948801299999994	0.42268458049999985	0.4	1.0005291630135933	0.9979070768093552	284367.9491
4	2024-08-12 14:21:10-04:00	2024-08-12 14:20:37-04:00	2024-08-12 14:21:43-04:00	66.0	-0.06987003582089554	-0.11484459701492537	0.044974510447761185	0.00017436896417401482	0.0002518531353966756	0.00033322408564332107	-0.0705846	-0.115446	0.0443692	-0.0694769	-0.114462	0.0456615	1.1685453574775782	1.03129907388439	0.9957561248205304	0.9926062893569004	17222.578125	12150.00390625	18194.02734375	12266.651367188	2.416841984	0.000791756	1.279894829	0.001576493	5	60	Horizontal	0.6280088429999999	0.6183115840000001	0.6231602135000001	0.6	1.0007631035133415	0.9971899574499792	74649.94936
5	2024-08-12 14:23:16-04:00	2024-08-12 14:22:13-04:00	2024-08-12 14:24:19-04:00	126.00000000000001	-0.06947595354330705	-0.11515153543307079	0.04567558818897639	0.00045155145988013973	0.0002944855831024118	0.0006116736817573813	-0.0706462	-0.116185	0.0444308	-0.0672	-0.114585	0.0484308	1.1697546250173196	1.0321067092662768	0.9967865816629106	0.9933836234783678	17232.92578125	12144.03125	18189.927734375	12255.30859375	2.713691473	0.002198446	1.580564618	0.000773687	6	120	Horizontal	0.9248583319999999	0.9189813729999999	0.9219198524999999	0.9	1.0008721340519298	0.9960433858226261	7385.055854
6	2024-08-12 14:24:02-04:00	2024-08-12 14:23:39-04:00	2024-08-12 14:24:25-04:00	46.0	-0.06909852340425529	-0.11529031914893616	0.04619181489361701	0.0003546676387909548	0.0003642711070177743	0.0006902294835710417	-0.0696615	-0.116185	0.0454154	-0.0685538	-0.114831	0.0475077	1.170538584915318	1.0333401378507623	0.9974546198054185	0.9945707756841984	17229.546875	12137.467773438	18184.892578125	12246.153320312	1.789916635	0.001694831	0.660583377	0.00522326	7	40	Horizontal	0.0010834939999999627	-0.0009998679999999593	4.1813000000001654e-05	0.0	1.0001350557137703	0.995023787141963	847776.073
7	2024-08-12 14:24:48-04:00	2024-08-12 14:24:25-04:00	2024-08-12 14:25:11-04:00	46.0	-0.06875024468085106	-0.11546178723404253	0.046711617021276575	0.00011875552126022453	0.0002918669989068294	0.000279185052638964	-0.0690462	-0.115815	0.0460308	-0.0685538	-0.114769	0.0471385	1.171059079926161	1.0344528825380872	0.9978981508088741	0.9956417718705199	17221.9921875	12130.888671875	18181.453125	12240.739257812	1.675333381	0.000971303	0.559333324	0.001161869	8	40	Horizontal	-0.11349976000000006	-0.10224992099999997	-0.10787484050000001	-0.1	0.9991546392620416	0.9943957704813978	793675.659
8	2024-08-12 14:25:39-04:00	2024-08-12 14:25:13.500000-04:00	2024-08-12 14:26:04.500000-04:00	51.0	-0.06872639607843137	-0.11583825490196077	0.047111913725490194	0.0001783699010043825	0.00022892014705021068	0.00021713351838867104	-0.0691077	-0.116369	0.0466462	-0.0683077	-0.115385	0.0475692	1.171473824645998	1.0357349975736672	0.9982515684938376	0.9968757838852912	17212.92578125	12124.709960938	18177.8984375	12235.00390625	1.514999986	0.001117215	0.398357183	0.001684305	9	45	Horizontal	-0.27383315499999994	-0.263226062	-0.26852960849999996	-0.25	0.9981200022165283	0.9937355251939505	554810.6725
9	2024-08-12 14:26:30-04:00	2024-08-12 14:26:04.500000-04:00	2024-08-12 14:26:55.500000-04:00	51.0	-0.06872397647058821	-0.11635486274509801	0.04763077058823528	0.00017732547993814658	0.0007693600462620315	0.0007339383015742181	-0.0689846	-0.119754	0.0468923	-0.0681231	-0.115754	0.0508308	1.1721362508516842	1.0368431286690074	0.9988160437598876	0.9979423395746352	17205.5078125	12118.541015625	18174.748046875	12229.59375	1.359857202	0.000490144	0.240785703	0.001847971	10	45	Horizontal	-0.4289759390000001	-0.42079754199999997	-0.4248867405	-0.4	0.9971822432298194	0.9931239615376085	284951.6407
10	2024-08-12 14:27:36-04:00	2024-08-12 14:27:03-04:00	2024-08-12 14:28:09-04:00	66.0	-0.06877703880597015	-0.11599086567164177	0.04721377164179102	0.0001957365042023097	0.0003362197556758666	0.00044101082299849475	-0.0691692	-0.116492	0.0464	-0.0680615	-0.115385	0.0478769	1.1728133677557864	1.0380809280650503	0.999393037455652	0.9991336986057712	17197.259765625	12109.952148438	18172.19921875	12222.995117188	1.155555606	0.000838214	0.039888889	0.001711227	11	60	Horizontal	-0.633277535	-0.621694356	-0.6274859454999999	-0.6	0.9959978080437611	0.9924489082401267	78112.25545
