Beta Star [cm], Beam Width X [µm], Beam Width Y [µm]
80.0, 160.44666078265578, 153.3613124357875
85.0, 161.0348153931452, 154.92946394705461
90.0, 161.79492451244369, 157.07983162939476
95.0, 163.1431054114921, 159.56976754113845
100.0, 163.70640749733826, 161.73752857564477
105.0, 165.31373759816432, 163.58897628615193
110.0, 166.93901111234746, 165.15099938805778
115.0, 168.58945853759363, 166.45258159639081
